,logistic_regression,Consensus_Score
Collinsella,0.6512838605860858,1.0
Citrobacter,0.6092667349524712,0.9662209347535057
Enterobacteriaceae,0.5347468566306839,0.9063117478676078
Caproiciproducens,0.40433992908910427,0.8014729696886036
Comamona,0.3855574895794452,0.7863730969553404
Delftia,0.32032686808603017,0.7339318748044219
Massilia,0.3182856215110032,0.7322908439104178
Acetanaerobacterium,0.31677339473667204,0.7310751108942409
Pseudoflavonifractor,0.31167475233097347,0.7269761304929533
Morganella,0.29879012984764036,0.7166177231298192
Uruburuella,0.2975679883912372,0.7156352000425364
Burkholderia-caballeronia-paraburkholderia,0.2910549251755184,0.7103991163266552
Staphylococcus,0.27290096538481334,0.6958045008453462
Agathobacter,0.2368652885037186,0.6668341354952171
Erysipelatoclostridiaceae,0.2280455749263491,0.6597436533193728
Aeromonas,0.21888200666555527,0.6523767341047841
Sarcina,0.21738437848041844,0.6511727374149142
Allisonella,0.205338187214098,0.6414883747979899
Colidextribacter,0.20156632732250168,0.6384560421608202
Butyrate_producers,0.19498262499279365,0.6331631691428529
Pseudoxanthomonas,0.18777766667409457,0.6273708462869814
Streptophyta,0.16714230530548366,0.6107813436129182
Butyrivibrio,0.16498269621375194,0.6090451568720012
Succinivibrio,0.1595906934436394,0.604710333615191
Enterobacter,0.14937107374925965,0.5964944170039262
Catenibacterium,0.14516817290008524,0.5931155551739483
Tepidimonas,0.13824295196885816,0.5875481231767637
Flavobacterium,0.13195272234200578,0.5824911833271971
Uc,0.12930964967854056,0.5803663229850371
Muribaculaceae,0.127847118934122,0.579190542379017
Cloacibacterium,0.11588456057317546,0.5695734152363137
lactate_producer,0.10719703509719682,0.5625892037878063
Sericytochromatia,0.09391974385145507,0.5519151160075653
Defluviitaleaceae,0.09067640262881194,0.5493076783705495
Epulopiscium,0.08337958676133513,0.5434415079564086
Psychrobacter,0.07913335186891296,0.5400278083441648
Lactobacillus,0.07300877500049223,0.5351040426527761
Mitsuokella,0.04183438204791515,0.5100418367620786
Plasticity,-0.0007220757815320847,0.4758291831356598
Acetate_producers,-0.03023224236599305,0.4521049081535096
generalistic,-0.031505319035192624,0.4510814364327721
unmapped_unknown,-0.03390386460704164,0.4491531601371808
dysbiosis_associated,-0.04666843459753136,0.43889126725302685
Methanobrevibacter,-0.06877132777066623,0.4211219634424323
Prevotella,-0.08193987595055262,0.41053529808962386
S,-0.10553125484017283,0.39156934754564576
Thermus,-0.11756461861895724,0.3818952974032636
Odoribacter,-0.1272657113800346,0.37409624307964834
Anoxybacillus,-0.14085150018397363,0.3631741431141475
Akkermansia,-0.16041402162069188,0.3474471347090749
Negativicoccus,-0.1715220955106113,0.3385169580957969
Abiotrophia,-0.1875586342818171,0.3256246128600932
Propionate_producers,-0.1882247760793635,0.3250890777204706
Firmicutes,-0.19748430828329955,0.31764500967078607
Alkanindiges,-0.19880446178915254,0.3165836912027298
Moraxella,-0.19950052261371518,0.31602410309064766
Enterorhabdus,-0.21315961684117912,0.3050430702817686
Streptococcus,-0.226288195185353,0.29448853810485126
Cag,-0.24024074508360296,0.2832715858202595
Family,-0.24906447269130663,0.2761778766223256
Barnesiella,-0.25509277499415745,0.2713315094864766
Clostridia,-0.26110200204839884,0.266500477623035
Absconditabacteriales,-0.2649926302287455,0.263372662924339
Vulcaniibacterium,-0.2774613576911859,0.25334860839554524
Ruminococcus,-0.2912909661581851,0.2422304931105124
Eggerthella,-0.29423991272822114,0.23985972983017081
Paraprevotella,-0.3249400790461113,0.215178771637719
Prevotellaceae,-0.33502090348485974,0.20707443748063628
Conchiformibius,-0.3400216178852944,0.20305418489400465
Alloprevotella,-0.3752205992001325,0.17475646893856492
Rhodospirillaceae,-0.405102521734319,0.15073332609498485
Faecalibacterium,-0.4476361248882725,0.11653904615698588
Escherichia,-0.5137215826620759,0.06341059064455411
Desulfovibrio,-0.5296606084191722,0.05059663959732273
Actinomyces,-0.5925967893669284,0.0
